Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,514621800,5,7,7,5,2,1
1,420875900,2,0,5,3,3,1
2,1132013800,2,7,0,5,3,0
3,653253200,4,0,4,2,1,1
4,866300100,6,7,4,5,3,0
5,849727900,3,0,4,1,3,1
6,899592700,4,5,5,4,2,1
7,632162100,5,3,5,0,1,0
8,611365100,5,4,2,1,3,0
9,761809300,4,1,0,1,0,0
10,667216300,2,1,5,4,3,1
11,672239500,5,4,4,4,0,0
12,569404400,4,4,1,7,2,0
13,898637200,4,2,4,0,1,0
14,466852600,4,7,2,5,3,0
15,1171875100,7,5,7,4,1,0
16,768942300,6,0,5,1,2,0
17,1163392800,4,0,2,2,2,0
18,841779500,1,0,2,1,3,1
19,2320793300,0,5,1,6,3,1
20,1590744900,0,1,1,0,2,1
21,2329808300,5,0,4,1,2,0
22,988359000,1,0,3,2,3,1
23,967414100,3,7,3,5,1,0
24,1204779900,7,4,7,3,1,0
25,2603041400,3,5,3,3,1,0
26,1208807500,2,5,4,7,3,1
27,839755200,4,1,1,4,2,0
28,960432000,3,2,3,0,1,0
29,910564600,4,7,4,5,1,0
