Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,919712300,5,7,3,5,3,0
1,798468000,3,5,3,2,1,0
2,585821700,6,0,6,2,1,1
3,610685900,4,0,4,2,1,1
4,496482700,2,7,2,5,1,0
5,600155400,6,7,6,5,1,0
6,563959500,2,5,0,7,2,0
7,433627400,4,2,6,4,3,1
8,332179300,4,7,7,4,2,1
9,290408200,1,0,5,0,0,1
10,421310800,6,5,4,3,3,0
11,485492400,5,0,3,2,2,0
12,614451500,3,2,4,1,2,1
13,436836300,2,0,2,1,1,1
14,325844600,6,4,4,4,0,0
15,183382300,3,0,4,1,3,1
16,201010800,1,7,4,7,0,1
17,168523000,0,7,1,6,2,1
18,200585400,1,6,2,7,3,1
