Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,2217147600,7,1,5,1,0,0
1,3010395300,0,2,2,2,0,1
2,2386425400,0,5,3,2,2,1
3,1725235700,2,2,6,2,0,1
4,1764829900,7,2,5,0,3,0
5,3110234300,0,3,0,7,1,1
6,2178619100,7,3,5,5,2,0
7,1979955500,7,5,6,6,2,0
8,2046421400,6,6,3,6,0,0
9,1824737700,7,6,7,4,1,0
10,2057178200,5,5,6,6,3,1
11,2654553700,5,1,3,3,2,0
12,1508772100,0,1,1,1,0,1
13,1700340000,7,4,4,1,3,0
14,1384912400,4,1,4,3,1,1
15,1313971500,4,3,2,1,3,0
16,1567671200,1,1,4,1,0,1
17,1456304400,4,1,4,4,1,1
18,1534055000,2,1,1,1,0,0
