Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,8422600,2,7,0,5,3,0
1,5578600,5,7,7,5,2,1
2,8852900,5,0,7,2,3,1
3,9028600,4,0,2,2,2,0
4,6982600,7,2,5,4,2,0
5,9910000,0,5,2,5,0,1
6,7977500,2,2,1,1,3,0
7,7015200,6,0,4,2,2,0
8,10066200,7,5,4,2,3,0
9,8976000,4,7,2,5,3,0
10,10750500,2,5,1,4,3,0
11,10000600,1,1,2,2,3,1
12,10972600,2,0,4,2,3,1
13,9941900,2,2,3,3,3,1
14,9974300,3,3,5,3,0,1
15,9973600,5,3,2,6,2,0
16,10719400,3,7,0,7,0,0
17,12965300,2,6,2,7,1,1
18,8135300,0,7,0,6,1,0
19,9582200,1,4,3,6,3,1
