Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,11995300,5,7,7,5,2,1
1,9019900,2,0,0,2,2,0
2,43856000,4,0,2,2,2,0
3,13953600,2,7,5,4,2,1
4,10985400,4,7,2,5,3,0
5,12970400,2,2,0,4,2,0
6,10963000,6,0,7,1,3,1
7,13004800,7,1,5,3,2,0
8,9016200,6,7,5,6,3,0
9,13009400,5,6,3,4,3,0
10,13949500,7,5,5,3,3,0
11,10961500,0,2,1,2,0,1
12,16944700,3,7,5,5,2,1
13,11013100,3,4,2,5,2,0
14,13995000,1,2,3,0,2,1
15,13003000,1,7,0,7,0,0
16,8023900,1,0,1,1,1,1
17,8018600,3,0,3,1,1,1
18,11960100,5,5,7,5,0,1
