Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,6981500,5,0,7,2,3,1
1,5985100,2,0,0,2,2,0
2,6980600,3,0,3,2,1,1
3,5984100,1,0,4,3,3,1
4,5029000,4,0,4,3,1,1
5,4990900,4,7,2,5,3,0
6,4986400,2,5,0,3,3,0
7,4360500,0,2,0,6,1,1
8,6976900,0,3,0,6,1,1
9,7980800,6,0,4,2,2,0
10,5983400,4,2,4,0,1,0
11,4987600,7,2,7,4,1,1
12,5492400,4,0,6,0,0,1
13,5972400,7,4,7,6,1,1
14,2991500,6,0,5,0,0,0
15,2992700,0,6,0,4,1,0
16,3979900,7,6,5,6,0,0
17,7977400,5,6,4,5,3,0
18,6981800,0,4,0,6,1,1
19,4986900,4,5,5,4,2,1
20,3989000,5,4,6,5,3,1
21,3988900,0,6,1,7,3,1
22,6981600,1,7,1,6,1,0
23,6981300,6,5,5,4,3,0
24,4986800,5,4,5,2,1,0
25,4986500,5,2,4,1,3,0
26,5984200,4,1,4,0,1,0
27,6981400,4,0,2,0,0,0
28,4986200,1,6,1,5,1,0
29,3989000,2,0,3,1,3,1
30,4986300,1,5,1,6,1,1
31,4985900,1,6,1,7,1,1
32,4987600,1,7,0,7,0,0
33,7979100,3,1,3,0,1,0
34,3988200,0,7,1,7,0,1
35,6981000,3,0,5,0,0,1
36,5985000,1,7,1,6,1,0
37,3989100,5,0,4,1,2,0
38,7977600,4,1,3,0,3,0
39,6979900,1,6,1,5,1,0
40,9973000,1,5,2,6,3,1
41,6980800,2,6,1,5,3,0
42,5983900,3,0,4,1,3,1
43,8975000,4,1,3,0,3,0
44,6969000,3,0,4,0,0,1
45,10971100,4,0,4,1,1,1
46,8978400,1,5,2,4,2,1
47,10970500,4,1,5,2,3,1
48,11967700,5,2,3,4,2,0
