Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,8015000,2,0,0,2,2,0
1,6012700,2,7,0,5,3,0
2,5981900,1,0,1,2,1,1
3,6980800,0,2,0,6,1,1
4,7826000,4,0,3,1,2,0
5,5984000,4,7,5,6,2,1
6,5983700,1,7,5,7,0,1
7,5983600,1,2,5,6,3,1
8,4987300,3,7,5,5,2,1
9,6979600,5,6,2,6,0,0
10,12002000,6,0,6,3,1,1
11,11005600,5,5,4,4,3,0
12,10017200,2,6,4,4,2,1
13,10002700,3,0,3,1,1,1
14,11010400,4,4,4,3,1,0
15,15956900,6,7,7,6,2,1
16,8939300,6,3,7,2,2,1
17,8975400,7,6,6,7,2,0
18,7978800,6,7,5,6,3,0
19,9972100,4,3,6,1,2,1
