Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,6030500,2,7,0,5,3,0
1,4985900,5,0,7,2,3,1
2,7363600,0,5,2,3,2,1
3,6147000,2,3,2,0,1,0
4,4983800,3,0,5,2,3,1
5,4986500,7,2,5,2,0,0
6,6980400,5,2,5,5,1,1
7,5029300,1,7,5,7,0,1
8,4974200,2,0,2,2,1,1
9,3981000,2,2,0,4,2,0
10,4030200,4,7,5,6,2,1
11,2992500,6,0,6,2,1,1
12,4987700,4,0,4,2,1,1
13,5017000,4,2,3,3,2,0
14,6982200,6,2,7,1,2,1
15,6981500,3,3,4,4,3,1
16,7489300,7,1,7,2,1,1
17,5985300,6,7,7,6,2,1
18,2039000,7,2,6,1,3,0
19,8976300,7,6,6,7,2,0
20,3990200,6,1,6,3,1,1
21,2992200,6,7,5,6,3,0
22,3989600,5,6,5,4,1,0
