Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,6980300,2,7,0,5,3,0
1,4987300,2,0,0,2,2,0
2,5994300,4,0,4,2,1,1
3,6010000,3,0,1,2,2,0
4,5985000,1,2,5,2,0,1
5,10016900,3,7,5,5,2,1
6,8975600,1,7,5,7,0,1
7,5969500,4,2,3,1,3,0
8,5983300,1,0,1,1,1,1
9,7023900,0,5,2,3,2,1
10,5985400,4,7,4,6,1,0
11,5984900,2,3,0,3,0,0
12,6981500,0,3,1,3,0,1
13,4988700,4,6,5,5,2,1
14,6979500,1,3,1,5,1,1
15,5983400,1,1,1,4,1,1
16,5981900,6,7,5,7,0,0
17,10970100,1,4,1,2,1,0
18,8973900,1,2,1,0,1,0
19,4986800,1,5,2,6,3,1
20,1992900,6,0,2,0,0,0
