Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1013389900,7,5,5,3,3,0
1,912630300,0,3,2,1,2,1
2,599397400,0,5,2,7,3,1
3,522642200,7,2,4,5,2,0
4,602388100,7,3,5,3,0,0
5,1308322100,0,6,0,2,1,0
6,1364261900,2,1,6,1,0,1
7,735035100,6,1,3,1,0,0
8,449835500,0,1,2,3,3,1
9,791726200,4,5,3,5,0,0
10,825926300,0,2,0,4,1,1
11,849437900,0,4,2,6,3,1
12,883502500,5,3,5,4,1,1
13,600399300,7,1,3,5,2,0
14,755072100,5,4,5,5,1,1
15,1055647000,2,3,1,4,2,0
16,212128400,7,4,6,5,2,0
17,234347500,2,6,4,6,0,1
