Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1210954500,7,5,5,5,0,0
1,1168056500,7,3,5,1,3,0
2,946628900,5,1,2,4,2,0
3,601997900,0,2,2,2,0,1
4,698620600,0,4,1,5,3,1
5,725133200,7,4,5,2,3,0
6,827844200,0,1,2,1,0,1
7,197524000,1,5,1,3,1,0
8,227415000,0,3,2,3,0,1
9,277255900,2,3,4,3,0,1
10,207489300,7,1,5,1,0,0
11,238408000,1,3,3,3,0,1
12,163573300,3,3,6,0,2,1
13,219414400,5,1,4,0,3,0
14,146608400,2,1,1,2,2,0
15,89797000,6,0,6,2,1,1
16,87804000,6,2,4,4,2,0
17,182553100,4,4,4,1,1,0
18,103764900,4,1,4,3,1,1
19,124667500,4,3,4,1,1,0
20,97762100,0,6,0,4,1,0
21,93789900,4,1,4,3,1,1
22,172579500,4,3,2,3,0,0
23,998000,2,3,0,5,2,0
