Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,26928900,7,2,5,4,2,0
1,20940100,0,3,2,1,2,1
2,20743300,7,5,5,5,0,0
3,20022900,0,6,2,6,0,1
4,21938300,7,6,7,2,1,0
5,20955300,7,1,7,5,1,1
6,17791700,2,6,3,5,2,1
7,14374100,7,4,5,6,2,0
8,15699000,5,6,7,4,2,1
9,13962400,7,4,5,2,3,0
10,16954100,0,4,2,4,0,1
11,17159100,5,5,6,6,3,1
12,16953500,7,3,6,3,0,0
13,18944100,6,6,5,5,3,0
14,18020000,5,5,2,5,0,0
15,15956800,2,1,2,4,1,1
16,14946900,2,5,4,7,3,1
17,36821700,2,4,3,5,3,1
18,12021500,3,5,5,3,2,1
19,14964300,0,5,2,5,0,1
20,15468300,4,7,4,5,1,0
21,12419100,6,3,5,2,3,0
22,12675800,5,2,3,4,2,0
23,997900,0,1,4,5,3,1
