Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,2131354700,0,5,2,7,3,1
1,2131300500,7,1,5,3,2,0
2,2388332700,7,4,5,2,3,0
3,2180170800,2,7,1,6,3,0
4,1923101400,7,3,5,5,2,0
5,1743333800,0,3,2,3,0,1
6,2074452800,5,5,6,6,3,1
7,1696495600,0,4,0,0,1,0
8,1461094100,2,3,2,4,1,1
9,1505012100,7,2,6,3,2,0
10,1780362000,7,5,6,4,3,0
11,2525247100,0,6,0,3,1,0
12,2624918000,6,6,7,5,2,1
13,2072824900,2,4,4,4,0,1
14,1999473300,1,6,2,7,3,1
15,1821130700,6,4,5,4,0,0
16,1790215000,0,3,0,6,1,1
17,1901916300,6,3,6,0,1,0
18,1503919000,6,0,4,2,2,0
19,1634630300,4,2,6,0,2,1
20,1413253600,2,7,0,5,3,0
21,1326364400,5,4,5,2,1,0
22,1449124500,7,5,6,4,3,0
23,1405067900,7,6,7,3,1,0
24,1404108700,6,0,7,1,3,1
25,1250653900,5,2,7,0,2,1
26,1240725700,0,1,0,4,1,1
27,1065201900,0,4,0,1,1,0
28,1153017200,0,6,0,4,1,0
29,1264656200,0,1,2,1,0,1
30,1063342900,2,1,3,0,2,1
31,1051207400,0,4,2,4,0,1
32,917461500,2,4,1,5,2,0
33,841752400,1,5,2,6,3,1
34,924529300,7,0,5,2,2,0
35,916558800,2,6,3,7,3,1
36,725062500,3,0,3,2,1,1
37,907641300,3,7,5,5,2,1
38,1370964600,5,5,7,5,0,1
39,917386300,3,2,2,3,2,0
40,955638700,2,3,2,5,1,1
41,1158938300,2,5,1,4,3,0
42,1037227300,7,5,6,4,3,0
43,1211759800,1,4,1,5,1,1
44,1271370800,6,4,6,2,1,0
45,1391281100,1,5,2,6,3,1
46,1598593700,2,6,1,5,3,0
47,1459060000,1,5,2,6,3,1
48,1239525200,2,6,1,5,3,0
49,1273594800,6,2,7,1,2,1
50,1386292000,1,5,3,5,0,1
51,1095039900,3,5,5,3,2,1
52,1020272500,5,3,5,4,1,1
53,1261405800,7,1,7,3,1,1
54,1292378500,7,3,7,5,1,1
55,720075700,7,5,6,6,2,0
56,1514949000,6,6,6,5,1,0
