Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,782951200,7,4,5,6,2,0
1,934501800,7,3,5,3,0,0
2,733089700,0,4,1,4,0,1
3,590282800,0,5,2,5,0,1
4,606377600,1,4,2,3,2,1
5,572469000,2,5,3,4,2,1
6,664254900,0,3,3,3,0,1
7,655820000,0,1,2,1,0,1
8,648268100,2,3,0,5,2,0
9,670206400,7,2,5,4,2,0
10,519434000,5,4,5,7,1,1
11,549532300,2,1,2,3,1,1
12,481712100,5,7,5,5,1,0
13,509307300,5,5,5,7,1,1
14,444217300,3,3,3,1,1,0
15,546136500,2,3,1,4,2,0
16,600394300,3,1,3,3,1,1
17,566486900,3,4,3,2,1,0
18,520606700,3,3,2,2,3,0
19,400674000,3,2,3,0,1,0
20,453763200,5,7,3,5,3,0
21,498705900,2,2,5,2,0,1
22,521607300,7,6,4,3,3,0
23,425862700,5,6,3,4,3,0
24,479718800,0,6,1,7,3,1
25,278738300,5,2,4,1,3,0
26,126649100,1,7,3,7,0,1
27,228387300,4,1,5,2,3,1
28,93750200,7,1,4,1,0,0
