Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,146807500,7,1,5,1,0,0
1,128176500,0,3,2,5,3,1
2,93739900,0,4,2,2,2,1
3,113135400,7,2,5,4,2,0
4,89756500,7,4,5,2,3,0
5,74800400,0,2,2,0,2,1
6,106495000,5,2,5,6,1,1
7,85553100,0,5,4,5,0,1
8,112314100,4,5,7,5,0,1
9,147877000,7,5,7,1,1,0
10,115691400,0,6,0,4,1,0
11,133021000,2,0,4,0,0,1
12,72805800,4,0,3,0,0,0
13,55495800,3,0,3,2,1,1
14,77473100,2,2,2,0,1,0
15,83768600,0,4,1,3,2,1
16,150594600,2,5,3,6,3,1
17,104188300,5,6,1,6,0,0
18,210435300,0,1,0,0,1,0
19,110751400,5,4,3,4,0,0
20,85558900,0,0,0,1,1,1
21,123026100,7,6,5,4,3,0
22,87764700,3,4,5,6,3,1
23,112674500,7,3,7,6,1,1
24,127658600,7,1,7,3,1,1
25,108710200,3,6,3,4,1,0
26,123404900,3,4,3,6,1,1
27,83792200,1,3,2,4,3,1
28,90749800,2,0,3,0,0,1
29,107443900,7,3,7,1,1,0
30,102025000,7,6,7,4,1,0
31,105568600,3,0,2,0,0,0
32,151594900,7,4,7,6,1,1
33,129653300,2,0,3,0,0,1
34,88147500,7,6,7,4,1,0
35,126658800,3,0,2,0,0,0
36,124029400,7,4,7,7,1,1
37,204422000,7,7,7,5,1,0
38,148494800,2,4,0,4,0,0
39,93749700,0,1,3,4,3,1
40,168546900,3,6,6,6,0,1
41,128726900,5,6,6,5,2,1
