Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,3733721400,0,4,2,6,3,1
1,2518266400,7,5,5,7,2,0
2,2841400400,7,2,5,0,3,0
3,3669189700,0,6,2,4,2,1
4,4122066000,7,4,5,6,2,0
5,3478645700,5,7,5,4,1,0
6,4541671000,5,6,4,7,2,0
7,4219716100,0,1,0,5,1,1
8,3814310500,5,4,5,6,1,1
9,3109685000,7,6,6,5,3,0
10,1931866700,6,5,5,4,3,0
11,4085077100,5,4,4,5,2,0
12,5494235300,0,5,0,3,1,0
13,3407873800,7,3,5,3,0,0
14,2326196500,5,0,6,1,3,1
15,2575113200,6,1,4,1,0,0
16,3865701800,0,3,0,4,1,1
17,3197282000,4,1,3,0,3,0
18,4251506400,0,4,2,2,2,1
19,4862852000,7,1,5,1,0,0
20,3480726800,5,1,3,3,2,0
21,759968900,3,0,3,4,1,1
