Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,2926555300,2,7,0,5,3,0
1,3190469100,2,0,2,2,1,1
2,2566173600,2,2,0,2,0,0
3,1897924600,6,7,4,5,3,0
4,2670094300,4,7,0,7,0,0
5,2233620700,1,0,1,2,1,1
6,2317742100,0,2,2,4,3,1
7,2835419300,2,4,2,6,1,1
8,2575112900,2,6,5,6,0,1
9,1989235600,3,0,0,3,2,0
10,1722396200,4,5,4,2,1,0
11,2302883900,0,7,4,7,0,1
12,1933242300,1,2,4,5,3,1
13,1750580700,5,6,5,3,1,0
14,2212120700,4,7,2,5,3,0
15,1720399500,4,0,3,1,2,0
16,1769269900,5,3,2,6,2,0
17,3782885300,4,2,4,4,1,1
18,7141802200,4,4,5,4,0,1
19,8325302100,3,1,3,4,1,1
20,5616359000,5,4,4,3,3,0
