Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,84771600,2,7,0,5,3,0
1,72295100,5,0,7,2,3,1
2,43755900,5,7,0,7,0,0
3,69814400,7,2,6,1,3,0
4,56848100,0,7,0,3,1,0
5,33908000,1,7,5,7,0,1
6,53855500,2,0,1,1,2,0
7,55851700,0,3,0,6,1,1
8,113458700,0,6,1,7,3,1
9,163698800,5,7,6,6,2,1
10,54853600,1,0,1,3,1,1
11,50865100,6,1,5,0,3,0
12,54780600,6,6,3,3,3,0
13,59337100,5,0,6,1,3,1
14,72804600,1,3,1,0,1,0
15,164560400,4,7,0,7,0,0
16,87800100,3,7,3,4,1,0
17,52858800,1,7,0,6,3,0
18,49867400,3,0,2,1,2,0
19,61464900,0,5,2,3,2,1
20,75798100,0,7,2,7,0,1
21,58647800,6,0,2,4,2,0
22,52857100,2,4,5,1,2,1
23,134671800,0,6,3,6,0,1
24,42885200,1,0,0,0,0,0
25,44880300,3,3,7,7,3,1
26,69770000,6,1,7,2,3,1
27,85770500,6,7,3,7,0,0
28,106713200,3,4,0,1,3,0
29,88740400,2,1,2,5,1,1
30,70810500,7,7,4,7,0,0
31,162166500,2,5,4,3,2,1
32,82815200,2,3,0,3,0,0
33,62866200,2,7,2,6,1,0
34,78790300,3,7,3,6,1,0
35,74835700,2,6,1,5,3,0
36,69942200,5,1,5,2,1,1
37,65823800,1,1,0,2,2,0
38,86374100,0,0,1,0,0,1
39,78829100,5,2,4,3,2,0
40,105755600,1,5,2,6,3,1
41,69814300,2,6,4,4,2,1
42,64566900,0,1,2,1,0,1
43,71754700,2,1,0,1,0,0
44,66822500,4,3,4,6,1,1
45,138629500,4,6,5,5,2,1
